Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area,x,y
20/12/2021,Stanley,Lung Yan Court,6.7,BLOCK A 5/F Room 9,5,BLOCK A,9,785,839198,809260
20/12/2021,Ap Lei Chau,Marina Habitat,10,TOWER 3 3#/F Room A,3,TOWER 3,A,803,833981,811732
20/12/2021,Chai Wan,Lok Hin Terrace,5.43,BLOCK 1 2#/F Room B,2,BLOCK 1,B,692,842815,813851
20/12/2021,Kennedy Town,60 Victoria Road,9.8,1#/F Room B,1,,B,633,830637,815882
20/12/2021,Kennedy Town,Cheong Yue Mansion,2,1#/F Room B,1,,B,339,831337,816096
20/12/2021,Kennedy Town,Ka Fu Building,7.84,BLOCK B 1#/F Room B1,1,BLOCK B,B1,672,831194,816057
20/12/2021,Shek Tong Tsui,Chong Yip Centre,5.55,BLOCK B 5/F Room G,5,BLOCK B,G,452,832139,816385
20/12/2021,Sai Wan Ho,Grand Promenade,7.16,TOWER 5 2#/F Room H,2,TOWER 5,H,436,841209,816263
20/12/2021,North Point,Ka Wai Building,5.45,BLOCK A 2#/F Room A4,2,BLOCK A,A4,341,838779,817051
20/12/2021,South Horizons,South Horizons,11.91,TOWER 13 7/F Room A,7,TOWER 13,A,798,833205,811583
20/12/2021,Shaukeiwan,Hoi Fung Centre,5.6,1#/F Room E,1,,E,503,841613,815517
20/12/2021,Wan Chai,Kwong Sang Hong Building,5.15,BLOCK D 2#/F Room Q,2,BLOCK D,Q,482,836321,815454
20/12/2021,Sai Wan Ho,Tai On Building,3.7,3/F Room 41,3,,41,465,833346,816172
20/12/2021,Baguio Villa,Baguio Villa,16.88,BLOCK 19 1#/F Room D,1,BLOCK 19,D,1520,831716,813797
20/12/2021,Sai Wan Ho,ISLAND RESIDENCE,9.75,7/F Room C,7,,C,500,841103,815776
20/12/2021,Chai Wan,Island Resort,10.3,TOWER 3 4#/F Room H,4,TOWER 3,H,824,843928,814088
20/12/2021,Sai Wan Ho,Tung Hei Court,4.3,WAH HEI HOUSE--BLOCK C 1#/F Room 8,1,WAH HEI HOUSE--BLOCK C,8,751,840649,815655
20/12/2021,Sheung Wan,One Pacific Heights,9.28,2#/F Room D,2,,D,531,833153,816429
20/12/2021,Ap Lei Chau,The Upper South,5.06,1#/F Room B,1,,B,186,835183.9,815413.2
20/12/2021,Happy Valley,Fortune Building,11.68,5/F Room B,5,,B,1100,836968,814288
20/12/2021,Sheung Wan,Dawning Height,8.12,1#/F Room C,1,,C,538,833638,816033
20/12/2021,Sai Ying Pun,Imperial Terrace,6.06,5/F Room A,5,,A,469,832563,816437
20/12/2021,North Point,Island Place,17.3,ONE ISLAND PLACE 3#/F Room A,3,ONE ISLAND PLACE,A,974,838862,816882
20/12/2021,North Point,Scala Mansion,5.4,8/F Room C,8,,C,450,838806,816884
20/12/2021,North Point,City Garden,20.88,BLOCK 8 1#/F Room E,1,BLOCK 8,E,1176,837977,816908
20/12/2021,Tin Hau,Park Towers,23.6,TOWER I 2#/F Room E,2,TOWER I,E,1210,837775,815948
20/12/2021,North Point,Ka Wai Building,4.85,BLOCK A 9/F Room A1,9,BLOCK A,A1,365,838779,817051
20/12/2021,Western mid-levels,Floral Tower,8,1#/F Room C,1,,C,436,833710,815630
20/12/2021,Wan Chai,Spring Garden Mansion,5,1#/F Room A,1,,A,510,835830,815193
20/12/2021,Kennedy Town,Luen Gay Apartments,5.38,1#/F Room 10,1,,10,500,831154,815903
20/12/2021,Sheung Wan,Hollywood Terrace,12.2,TOWER B 1#/F Room F,1,TOWER B,F,755,833595,816135
20/12/2021,Sai Wan Ho,Parker33,4.4,1#/F Room J,1,,J,211,840818,815853
20/12/2021,Wan Chai,The Avenue,11.88,TOWER 1 2#/F Room C,2,TOWER 1,C,431,835804,815258
20/12/2021,Wan Chai,Australia House,6.25,1#/F Room 9,1,,9,414,835701,815361
20/12/2021,Sheung Wan,Queen's Terrace,10.5,TOWER 3 1#/F Room F,1,TOWER 3,F,695,833257,816463
20/12/2021,Sai Ying Pun,Two Artlane,5.94,1#/F Room H,1,,H,214,832608,816499
17/12/2021,Heng Fa Chuen,Heng Fa Chuen,8.68,BLOCK 30 1#/F Room 7,1,BLOCK 30,7,604,842698,815572
17/12/2021,Sai Ying Pun,Tong Nam Mansion,7.8,9/F Room B,9,,B,595,832747,816328
17/12/2021,Sheung Wan,Ka Fu Building,16.5,1#/F Room A,1,,A,1212,837434,818500
17/12/2021,Sai Ying Pun,King Ming Mansion,6.48,6/F Room B,6,,B,488,832221,816272
17/12/2021,Wan Chai,Newman House,8.5,9/F Room D,9,,D,576,835656,815343
17/12/2021,Heng Fa Chuen,Heng Fa Chuen,9.08,BLOCK 17 1#/F Room 4,1,BLOCK 17,4,631,842542,815344
17/12/2021,Shaukeiwan,Sun Sing Centre,4.75,BLOCK C 2#/F Room C1,2,BLOCK C,C1,342,841242,815631
17/12/2021,Sai Ying Pun,Richsun Garden,5.28,1#/F Room B,1,,B,376,832716,816279
17/12/2021,Pok Fu Lam,Chi Fu Fa Yuen,7.28,BLOCK H-20 7/F Room D,7,BLOCK H-20,D,518,832173,813327
17/12/2021,Taikoo Shing,TaiKoo Shing,1.9,TUNG SHAN 2#/F Room B,2,TUNG SHAN,B,894,840773,816341
17/12/2021,Southern District,Residence Bel-Air,36.6,TOWER 8 5/F Room A,5,TOWER 8,A,1667,831704,813183
17/12/2021,Wan Chai,Wai Sun Building,4.28,2/F Room B,2,,B,348,836574,815673
